,Open,High,Low,Close,Volume
2019.09.04 05:00,1541.38000,1545.05000,1540.16000,1544.58000,316430
2019.09.04 06:00,1544.58000,1545.17000,1543.01000,1543.25000,113400
2019.09.04 07:00,1543.24000,1543.58000,1541.99000,1542.51000,107060
2019.09.04 08:00,1542.50000,1544.22000,1541.12000,1541.77000,169090
2019.09.04 09:00,1541.77000,1542.25000,1535.96000,1537.63000,533560
2019.09.04 10:00,1537.63000,1539.20000,1535.31000,1536.57000,380420
2019.09.04 11:00,1536.59000,1539.21000,1536.24000,1538.71000,270000
2019.09.04 12:00,1538.70000,1539.57000,1537.44000,1538.38000,262860
2019.09.04 13:00,1538.38000,1539.02000,1535.67000,1536.60000,194940
2019.09.04 14:00,1536.59000,1537.04000,1533.91000,1535.85000,260400
2019.09.04 15:00,1535.84000,1541.81000,1535.84000,1541.60000,406510
2019.09.04 16:00,1541.63000,1547.14000,1541.36000,1546.22000,833630
2019.09.04 17:00,1546.22000,1549.18000,1545.15000,1546.68000,601030
2019.09.04 18:00,1546.69000,1547.95000,1543.77000,1547.18000,451730
2019.09.04 19:00,1547.17000,1548.40000,1546.60000,1547.54000,272650
2019.09.04 20:00,1547.54000,1557.07000,1547.09000,1555.60000,515590
2019.09.04 21:00,1555.57000,1556.74000,1552.32000,1554.15000,323900
2019.09.04 22:00,1554.18000,1555.37000,1552.47000,1555.02000,152940
2019.09.04 23:00,1555.01000,1555.25000,1552.38000,1552.48000,82950
2019.09.05 01:00,1552.00000,1552.78000,1550.60000,1551.99000,65410
2019.09.05 02:00,1552.02000,1553.04000,1551.25000,1551.25000,66570
2019.09.05 03:00,1551.25000,1551.71000,1547.42000,1548.66000,231640
2019.09.05 04:00,1548.67000,1549.91000,1542.34000,1542.79000,685940
2019.09.05 05:00,1542.79000,1544.86000,1541.83000,1544.04000,341860
2019.09.05 06:00,1544.04000,1546.41000,1543.04000,1545.51000,178140
2019.09.05 07:00,1545.51000,1545.71000,1544.24000,1544.60000,120640
2019.09.05 08:00,1544.60000,1546.13000,1542.82000,1544.93000,206020
2019.09.05 09:00,1544.93000,1548.47000,1544.01000,1548.13000,360810
2019.09.05 10:00,1548.12000,1550.25000,1540.62000,1542.26000,507320
2019.09.05 11:00,1542.25000,1543.61000,1541.15000,1542.78000,314560
2019.09.05 12:00,1542.77000,1543.54000,1540.63000,1540.90000,223990
2019.09.05 13:00,1540.90000,1542.21000,1538.24000,1541.54000,336550
2019.09.05 14:00,1541.55000,1543.24000,1540.46000,1542.94000,249190
2019.09.05 15:00,1542.95000,1544.76000,1534.90000,1536.93000,623780
2019.09.05 16:00,1536.94000,1538.52000,1526.47000,1528.26000,832520
2019.09.05 17:00,1528.17000,1528.17000,1506.31000,1514.00000,1656850
2019.09.05 18:00,1514.00000,1522.21000,1512.10000,1517.76000,741740
2019.09.05 19:00,1517.79000,1518.73000,1515.28000,1515.51000,426080
2019.09.05 20:00,1515.51000,1520.32000,1515.51000,1520.15000,394670
2019.09.05 21:00,1520.11000,1521.12000,1517.87000,1518.35000,192550
2019.09.05 22:00,1518.36000,1519.45000,1516.81000,1518.34000,138970
2019.09.05 23:00,1518.32000,1519.41000,1517.83000,1518.98000,65350
2019.09.06 01:00,1517.18000,1519.29000,1517.17000,1518.12000,46810
2019.09.06 02:00,1518.11000,1519.16000,1517.48000,1518.50000,65540
2019.09.06 03:00,1518.51000,1520.34000,1515.87000,1517.52000,172930
2019.09.06 04:00,1517.52000,1519.81000,1515.23000,1515.35000,351760
2019.09.06 05:00,1515.31000,1517.16000,1514.60000,1514.91000,252090
2019.09.06 06:00,1514.91000,1515.02000,1512.74000,1514.47000,228490
2019.09.06 07:00,1514.47000,1518.96000,1514.37000,1518.40000,137950
2019.09.06 08:00,1518.41000,1519.43000,1516.77000,1517.85000,211660
2019.09.06 09:00,1517.83000,1518.75000,1505.33000,1506.14000,590610
2019.09.06 10:00,1506.13000,1512.08000,1506.13000,1509.65000,468920
2019.09.06 11:00,1509.64000,1510.26000,1506.29000,1508.29000,299900
2019.09.06 12:00,1508.24000,1508.44000,1502.86000,1505.21000,439660
2019.09.06 13:00,1505.20000,1508.74000,1504.70000,1507.28000,247620
2019.09.06 14:00,1507.28000,1507.52000,1504.03000,1505.41000,281730
2019.09.06 15:00,1505.41000,1518.48000,1502.62000,1516.00000,979230
2019.09.06 16:00,1516.00000,1527.95000,1515.98000,1524.52000,1136290
2019.09.06 17:00,1524.52000,1525.11000,1517.48000,1520.09000,734440
2019.09.06 18:00,1520.08000,1523.10000,1518.68000,1521.13000,450070
2019.09.06 19:00,1521.13000,1523.64000,1510.94000,1517.69000,725480
2019.09.06 20:00,1517.69000,1518.82000,1504.92000,1509.72000,1075510
2019.09.06 21:00,1509.73000,1510.68000,1506.57000,1507.50000,335490
2019.09.06 22:00,1507.50000,1508.00000,1504.54000,1505.49000,256060
2019.09.06 23:00,1505.48000,1507.57000,1505.18000,1506.52000,58510
2019.09.09 01:00,1507.87000,1507.94000,1503.19000,1506.92000,117340
2019.09.09 02:00,1506.92000,1507.65000,1504.62000,1505.92000,81340
2019.09.09 03:00,1505.92000,1508.43000,1505.49000,1507.48000,180070
2019.09.09 04:00,1507.46000,1512.59000,1506.73000,1510.67000,577780
2019.09.09 05:00,1510.67000,1511.21000,1507.03000,1509.76000,273780
2019.09.09 06:00,1509.75000,1510.69000,1509.27000,1509.68000,124210
2019.09.09 07:00,1509.68000,1510.18000,1509.17000,1509.61000,56970
2019.09.09 08:00,1509.61000,1511.56000,1508.38000,1510.39000,142350
2019.09.09 09:00,1510.37000,1510.40000,1507.47000,1509.55000,239780
2019.09.09 10:00,1509.54000,1509.75000,1504.99000,1505.16000,295480
2019.09.09 11:00,1505.17000,1508.76000,1504.51000,1508.22000,201970
2019.09.09 12:00,1508.22000,1510.17000,1507.96000,1509.13000,180900
2019.09.09 13:00,1509.12000,1511.27000,1508.89000,1509.72000,150480
2019.09.09 14:00,1509.72000,1514.11000,1509.17000,1511.42000,216150
2019.09.09 15:00,1511.42000,1515.03000,1510.52000,1514.06000,393010
2019.09.09 16:00,1514.02000,1515.53000,1508.71000,1510.39000,662490
2019.09.09 17:00,1510.38000,1510.51000,1497.68000,1498.96000,762920
2019.09.09 18:00,1498.97000,1503.08000,1497.65000,1500.47000,493120
2019.09.09 19:00,1500.47000,1506.72000,1499.38000,1503.41000,449640
2019.09.09 20:00,1503.40000,1504.57000,1501.87000,1504.18000,292170
2019.09.09 21:00,1504.20000,1504.43000,1500.73000,1501.59000,223220
2019.09.09 22:00,1501.57000,1501.89000,1499.74000,1499.82000,159420
2019.09.09 23:00,1499.80000,1500.20000,1498.32000,1498.84000,87530
2019.09.10 01:00,1498.53000,1499.94000,1497.74000,1498.57000,68760
2019.09.10 02:00,1498.58000,1499.38000,1495.67000,1496.20000,111920
2019.09.10 03:00,1496.20000,1497.40000,1493.05000,1493.25000,239190
2019.09.10 04:00,1493.24000,1493.86000,1486.49000,1487.80000,654640
2019.09.10 05:00,1487.79000,1489.91000,1487.29000,1489.19000,227310
2019.09.10 06:00,1489.20000,1490.57000,1488.77000,1489.94000,121630
2019.09.10 07:00,1489.94000,1490.85000,1488.85000,1489.92000,76920
2019.09.10 08:00,1489.92000,1490.76000,1487.80000,1488.90000,147080
2019.09.10 09:00,1488.90000,1492.37000,1487.81000,1491.09000,286980
2019.09.10 10:00,1491.09000,1495.75000,1490.42000,1493.73000,313100
2019.09.10 11:00,1493.75000,1496.86000,1493.65000,1494.05000,239560
2019.09.10 12:00,1494.03000,1496.01000,1492.78000,1495.23000,161120
2019.09.10 13:00,1495.23000,1496.43000,1493.91000,1495.27000,132990
2019.09.10 14:00,1495.26000,1495.32000,1491.46000,1491.97000,300750
2019.09.10 15:00,1491.96000,1496.99000,1488.81000,1495.59000,486770
2019.09.10 16:00,1495.60000,1501.04000,1491.91000,1497.98000,846780
2019.09.10 17:00,1497.94000,1499.33000,1492.02000,1496.19000,806520
2019.09.10 18:00,1496.19000,1497.77000,1492.52000,1494.47000,512340
2019.09.10 19:00,1494.47000,1496.58000,1489.84000,1491.26000,467460
2019.09.10 20:00,1491.25000,1493.09000,1490.74000,1492.93000,285710
2019.09.10 21:00,1492.93000,1493.78000,1490.22000,1491.00000,223460
2019.09.10 22:00,1491.01000,1491.04000,1486.79000,1486.79000,266780
2019.09.10 23:00,1486.78000,1488.11000,1484.50000,1485.24000,117000
2019.09.11 01:00,1485.45000,1487.87000,1485.17000,1487.49000,71800
2019.09.11 02:00,1487.48000,1487.94000,1486.37000,1487.07000,77790
2019.09.11 03:00,1487.07000,1489.19000,1486.99000,1488.77000,142150
2019.09.11 04:00,1489.75000,1493.03000,1489.24000,1492.39000,277760
2019.09.11 05:00,1492.39000,1492.57000,1490.47000,1490.80000,133530
2019.09.11 06:00,1490.81000,1491.47000,1490.37000,1491.09000,94330
2019.09.11 07:00,1491.09000,1491.39000,1489.09000,1490.95000,135530
2019.09.11 08:00,1490.94000,1494.81000,1490.64000,1494.34000,250650
2019.09.11 09:00,1494.35000,1495.05000,1491.94000,1492.95000,225180
2019.09.11 10:00,1492.95000,1493.85000,1489.64000,1489.95000,283390
2019.09.11 11:00,1489.94000,1494.01000,1488.94000,1493.88000,205100
2019.09.11 12:00,1493.87000,1494.78000,1492.38000,1492.66000,151780
2019.09.11 13:00,1492.67000,1493.68000,1491.67000,1493.39000,118580
2019.09.11 14:00,1493.34000,1493.58000,1490.85000,1491.22000,144210
2019.09.11 15:00,1491.22000,1493.37000,1489.93000,1491.57000,347550
2019.09.11 16:00,1491.58000,1492.35000,1486.89000,1491.94000,722220
2019.09.11 17:00,1491.94000,1494.80000,1490.27000,1494.54000,543680
2019.09.11 18:00,1494.53000,1497.71000,1493.83000,1494.59000,389120
2019.09.11 19:00,1494.59000,1495.22000,1492.65000,1493.71000,221810
2019.09.11 20:00,1493.70000,1496.56000,1491.73000,1495.45000,235260
2019.09.11 21:00,1495.45000,1497.51000,1494.52000,1497.22000,121880
2019.09.11 22:00,1497.19000,1498.28000,1495.71000,1495.81000,115570
2019.09.11 23:00,1495.82000,1496.86000,1495.67000,1496.77000,45480
2019.09.12 01:00,1496.63000,1497.94000,1495.19000,1496.85000,66530
2019.09.12 02:00,1496.85000,1498.49000,1491.84000,1493.11000,235910
2019.09.12 03:00,1493.12000,1493.67000,1489.26000,1490.28000,212470
2019.09.12 04:00,1490.28000,1494.19000,1490.27000,1493.16000,227870
2019.09.12 05:00,1493.16000,1493.76000,1492.40000,1492.87000,103970
2019.09.12 06:00,1492.88000,1494.97000,1492.53000,1493.54000,156210
2019.09.12 07:00,1493.54000,1496.23000,1493.15000,1496.04000,104840
2019.09.12 08:00,1496.04000,1498.43000,1495.18000,1497.88000,187250
2019.09.12 09:00,1497.88000,1502.31000,1495.49000,1501.17000,272070
2019.09.12 10:00,1501.15000,1504.01000,1500.36000,1502.96000,342330
2019.09.12 11:00,1502.94000,1505.93000,1502.27000,1504.44000,232870
2019.09.12 12:00,1504.43000,1504.81000,1502.69000,1503.77000,155390
2019.09.12 13:00,1503.78000,1503.85000,1502.08000,1502.63000,119130
2019.09.12 14:00,1502.64000,1514.07000,1501.53000,1512.63000,456080
2019.09.12 15:00,1512.64000,1524.26000,1511.38000,1516.20000,1162290
2019.09.12 16:00,1516.20000,1520.50000,1511.92000,1516.28000,962560
2019.09.12 17:00,1516.29000,1517.97000,1504.64000,1510.52000,1137500
2019.09.12 18:00,1510.51000,1514.67000,1500.92000,1503.20000,625510
2019.09.12 19:00,1503.16000,1504.96000,1496.98000,1498.57000,399150
2019.09.12 20:00,1498.58000,1500.92000,1496.96000,1498.43000,327330
2019.09.12 21:00,1498.44000,1500.38000,1497.76000,1498.32000,203220
2019.09.12 22:00,1498.34000,1499.93000,1497.90000,1499.18000,134690
2019.09.12 23:00,1499.18000,1499.48000,1497.93000,1499.05000,65630
2019.09.13 01:00,1498.30000,1499.46000,1495.44000,1496.96000,83770
2019.09.13 02:00,1496.96000,1498.46000,1495.90000,1497.90000,73560
2019.09.13 03:00,1497.90000,1501.06000,1496.78000,1498.52000,159690
2019.09.13 04:00,1498.51000,1498.84000,1495.57000,1496.87000,115290
2019.09.13 05:00,1496.86000,1498.01000,1496.16000,1496.63000,68630
2019.09.13 06:00,1496.62000,1497.71000,1496.30000,1497.65000,54670
2019.09.13 07:00,1497.65000,1498.91000,1497.55000,1497.85000,55680
2019.09.13 08:00,1497.84000,1497.99000,1496.69000,1497.57000,58010
2019.09.13 09:00,1497.57000,1506.05000,1497.44000,1505.02000,253860
2019.09.13 10:00,1505.01000,1505.79000,1501.50000,1505.13000,337940
2019.09.13 11:00,1505.13000,1507.55000,1503.90000,1505.69000,275000
2019.09.13 12:00,1505.68000,1507.09000,1503.75000,1506.32000,218800
2019.09.13 13:00,1506.33000,1507.85000,1504.49000,1505.18000,169830
2019.09.13 14:00,1505.19000,1509.07000,1504.41000,1508.11000,180580
2019.09.13 15:00,1508.11000,1509.02000,1496.85000,1500.46000,578280
2019.09.13 16:00,1500.46000,1506.20000,1499.55000,1503.90000,452420
