,Open,High,Low,Close,Volume
2018.08.28,1210.37000,1214.30000,1199.63000,1201.03000,244454,0
2018.08.29,1199.61000,1207.25000,1199.61000,1206.53000,234584,0
2018.08.30,1205.92000,1207.86000,1196.29000,1199.81000,253726,0
2018.08.31,1199.64000,1208.86000,1198.26000,1200.93000,260723,0
2018.09.03,1200.62000,1203.89000,1195.67000,1200.25000,146720,0
2018.09.04,1200.80000,1202.02000,1189.64000,1191.40000,254323,0
2018.09.05,1190.72000,1198.41000,1190.72000,1196.70000,219460,0
2018.09.06,1196.66000,1206.99000,1195.83000,1200.06000,249572,0
2018.09.07,1199.23000,1203.53000,1193.46000,1195.95000,265154,0
2018.09.10,1195.08000,1198.52000,1191.55000,1195.81000,202666,0
2018.09.11,1194.92000,1199.38000,1187.73000,1198.62000,207406,0
2018.09.12,1198.05000,1208.48000,1192.70000,1206.13000,245355,0
2018.09.13,1206.88000,1212.65000,1200.18000,1201.39000,240179,0
2018.09.14,1201.26000,1208.57000,1193.27000,1193.74000,203359,0
2018.09.17,1193.72000,1204.82000,1192.83000,1201.33000,194798,0
2018.09.18,1201.14000,1203.55000,1195.89000,1198.25000,249172,0
2018.09.19,1198.01000,1206.21000,1197.65000,1203.91000,209155,0
2018.09.20,1203.93000,1208.46000,1201.31000,1207.08000,213275,0
2018.09.21,1207.08000,1211.04000,1191.83000,1199.23000,226832,0
2018.09.24,1199.04000,1204.19000,1194.44000,1198.79000,180713,0
2018.09.25,1197.85000,1203.35000,1197.10000,1201.13000,191623,0
2018.09.26,1200.73000,1202.47000,1190.53000,1194.35000,221896,0
2018.09.27,1193.86000,1198.62000,1181.86000,1182.74000,240021,0
2018.09.28,1182.00000,1193.82000,1180.67000,1191.63000,224391,0
2018.10.01,1192.31000,1192.40000,1184.62000,1188.74000,106081,0
2018.10.02,1188.60000,1208.26000,1187.66000,1202.94000,123149,0
2018.10.03,1202.24000,1208.31000,1196.53000,1197.29000,120491,0
2018.10.04,1196.67000,1206.79000,1196.00000,1199.79000,133840,0
2018.10.05,1199.12000,1205.81000,1197.26000,1202.91000,125443,0
2018.10.08,1202.99000,1204.08000,1183.23000,1187.93000,118660,0
2018.10.09,1188.52000,1191.92000,1183.34000,1189.71000,125378,0
2018.10.10,1189.03000,1194.76000,1185.34000,1194.68000,128410,0
2018.10.11,1194.39000,1226.32000,1191.29000,1224.19000,355285,0
2018.10.12,1224.03000,1224.29000,1215.85000,1217.85000,267001,0
2018.10.15,1217.54000,1233.28000,1216.87000,1226.84000,232136,0
2018.10.16,1226.06000,1232.43000,1223.37000,1224.72000,214839,0
2018.10.17,1223.88000,1229.52000,1220.65000,1222.21000,228595,0
2018.10.18,1221.27000,1230.14000,1218.70000,1225.74000,244681,0
2018.10.19,1225.46000,1230.81000,1223.13000,1226.59000,215779,0
2018.10.22,1227.30000,1229.57000,1220.08000,1221.99000,196795,0
2018.10.23,1221.67000,1239.76000,1221.59000,1230.10000,243165,0
2018.10.24,1230.43000,1234.24000,1225.64000,1234.03000,228984,0
2018.10.25,1233.77000,1239.22000,1228.12000,1232.09000,244584,0
2018.10.26,1231.62000,1243.44000,1230.07000,1233.76000,311992,0
2018.10.29,1233.68000,1235.39000,1224.36000,1229.33000,249018,0
2018.10.30,1229.69000,1230.61000,1219.91000,1223.00000,241888,0
2018.10.31,1222.77000,1223.30000,1211.96000,1214.61000,216975,0
2018.11.01,1214.50000,1237.37000,1214.32000,1233.12000,247993,0
2018.11.02,1233.18000,1236.43000,1229.75000,1232.94000,283325,0
2018.11.05,1232.88000,1235.17000,1226.87000,1231.58000,184799,0
2018.11.06,1231.55000,1235.93000,1223.49000,1226.92000,192279,0
2018.11.07,1227.00000,1236.40000,1223.00000,1226.54000,273939,0
2018.11.08,1225.56000,1227.16000,1220.13000,1223.48000,225014,0
2018.11.09,1222.67000,1223.65000,1206.76000,1209.45000,213641,0
2018.11.12,1209.58000,1211.49000,1200.17000,1200.45000,189817,0
2018.11.13,1200.26000,1205.23000,1196.30000,1202.10000,244574,0
2018.11.14,1202.08000,1216.58000,1197.69000,1210.76000,261597,0
2018.11.15,1210.86000,1216.46000,1208.00000,1213.24000,274054,0
2018.11.16,1213.57000,1225.31000,1213.15000,1221.39000,223227,0
2018.11.19,1221.93000,1225.34000,1218.02000,1224.01000,188298,0
2018.11.20,1224.01000,1228.76000,1219.96000,1221.55000,222903,0
2018.11.21,1221.62000,1230.09000,1219.77000,1225.92000,192385,0
2018.11.22,1225.90000,1229.11000,1224.87000,1227.23000,100396,0
2018.11.23,1226.78000,1228.57000,1220.27000,1222.96000,139954,0
2018.11.26,1223.27000,1228.08000,1221.75000,1222.25000,166523,0
2018.11.27,1222.10000,1225.28000,1211.91000,1215.01000,189581,0
2018.11.28,1214.66000,1226.57000,1211.18000,1220.83000,183895,0
2018.11.29,1220.52000,1229.01000,1220.25000,1224.21000,206705,0
2018.11.30,1224.11000,1225.59000,1216.69000,1222.12000,162550,0
2018.12.03,1221.97000,1234.96000,1220.90000,1230.69000,220409,0
2018.12.04,1231.27000,1241.95000,1230.50000,1238.44000,236976,0
2018.12.05,1238.89000,1239.26000,1233.32000,1237.07000,138474,0
2018.12.06,1236.97000,1244.34000,1234.77000,1237.80000,273739,0
2018.12.07,1237.54000,1250.05000,1237.25000,1248.60000,234753,0
2018.12.10,1249.70000,1250.93000,1241.61000,1244.36000,234320,0
2018.12.11,1244.01000,1249.53000,1241.05000,1243.01000,222732,0
2018.12.12,1242.93000,1247.23000,1242.03000,1245.57000,205414,0
2018.12.13,1244.77000,1246.74000,1240.15000,1241.94000,191567,0
2018.12.14,1241.68000,1243.07000,1232.93000,1238.13000,179392,0
2018.12.17,1239.10000,1248.12000,1235.81000,1245.87000,171362,0
2018.12.18,1245.74000,1250.39000,1245.08000,1249.43000,189657,0
2018.12.19,1249.63000,1258.04000,1241.74000,1242.96000,245768,0
2018.12.20,1242.42000,1266.49000,1242.42000,1259.68000,306769,0
2018.12.21,1259.73000,1262.77000,1253.94000,1255.43000,247618,0
2018.12.24,1257.48000,1269.57000,1256.76000,1268.82000,170495,0
2018.12.26,1269.26000,1279.11000,1264.30000,1266.92000,214512,0
2018.12.27,1265.99000,1278.95000,1265.65000,1275.60000,280854,0
2018.12.28,1274.75000,1282.14000,1274.29000,1280.62000,226911,0
2018.12.31,1280.31000,1284.08000,1277.45000,1282.43000,155988,0
2019.01.02,1281.98000,1288.74000,1278.72000,1284.48000,247224,0
2019.01.03,1286.25000,1294.93000,1284.60000,1294.16000,299699,0
